processed_text,sentiment
banyak yang kabur dari rupiah beli dollar sampai bi batesin jumlah pembelian dollar panik juga tuh bi orang pinter faham peluang kaya lari kemana,0
makan bergizi gratis ini membutuhkan dana apbn yang sangat besar pasti kali akan membuat pajak melambung rakyat kecil juga yang nanti kali akan kena dampak kali stop makan bergizi gratis,0
saya punya 100 kalau sampai 25000 gas tak tukerno,0
solusinya hentikan makan bergizi gratis kedua ganti kabinet yang kompeten dua itu yang terpenting sudah disampaikan berulang ulang sama pak feri,0
makan bergizi gratis keknya mustahil di hilangkan si mau digimna gimna pun soalnya itu janjinya di awal kalau pak prabowo menghilangkan makan bergizi gratis pasti bakal kacau terus yang kontra pemerintah langsung banyak yang turun gunung saya yakin pak prabowo punya cara intinya percayakan dulu kepada pemerintah semoga indonesia baik saja,0
ya lahanin prabowo sebenernya yang salah jokowi ngutang nya seleher dan bersama oligarki ikutan korupsi berikut makelar singapura yang berusaha mengendalikan indonesia,0
sanggup insyaallah pemerintah sudah swasembada beras n jagung,1
jawaban purbaya selalu ada yang disalahkan kayanya gampang bulan juni rupiah 15 ribu per 1 dollar,1
saya yakin porto bapak ini merah merona,2
presiden bodoh pasti negara bakal hancur,0
sampai berbuih buih dibahas tetep saja beba sekarepmu lah,0
perhari ini sudah pusing mas sudah ada beritanya pas rupiah di 17800,0
kerja sama sama iran tidak ada ya disni kan banyak penggemarnya,0
penyebabnya pemerintah tidak becus kelola negara sudah gitu j negara tetangga baik baik j apa apa nyalahin asing hapuskan makan bergizi gratis selamatkan anggaran yang jadi ladang korupsi,0
seharusnya petrodolar itu di hapus saja masak iya orng yang jual minyak dollar yang naik daun brics lebih masuk akal kan,0
tidak peduli lah saya orang desa tidak pake dollar,2
lalu kapan indonesia bisa investasi di negara lain itu baru pemerintahan yang bagus mah,0
seharusnya pidato sekelas presiden harus pakai teks jadi dak ngelantur ke mana mana,0
tidak ngaruh rakyat masih bisa makan enak,1
dan kabar buruknya kedepan impor beras kita akan makin meningkat karena sawah ladang menyempit mencari nafkah makin syulit,0
stop makan bergizi gratis selesai persoalan maling berkedok gizi badan gizi negara badan garong nasional,0
tunggu periode ke 2 prabowo saja mungkin baru menguat di periode ke 2 jadi jangan lupa coblos prbowo gibran untuk indonesia kaya progam ungulan tetap makan dan koperasi,1
okey gass gass gas to 25000,0
makan bergizi gratis siapa lagi di korupsi botak dadan,0
dan kenapa inflansi terjadi setelah puasa,2
mahasiswa tandingannya warga lokal skrng,2
fundamental kuat biasa saja 50k perdollar masih kokoh,0
bukan agenda soros2an tapi murni kebodohan pemerintah arah kebijakan yang ngawur tidak jelas kemana,0
tenang saja belum sampai 20000 indonesia semakin maju ini,1
jangan menyerah pak pur dan tetap semangat pak pur masih banyak rakyat yang mendukungmu,1
buruan beli valas atau emas bro,2
pada bodoh semua para pejabat kaga ada yang becus,0
sudah ku perkirakan pasti naik buat jegal rupiah,0
omong omong digedein tuh lihat hasil koboi kobianya,0
mangkin lama blokade amerika pada iran mangkin tinghi dollar mangkin anjlok rupiah mangkin banyak kelas menengah jadimiskin dan yang miskin jadi melarat kok bisa ya bro,0
selamat buat himpunan pengangguran ormas preman dan kroco kroco lainnya yang sukses membuat iklim investasi di indonesia rusak,0
makan bergizi gratis ganti dengan blt biar ekonomi rakyat indonesia lanycar kembali biar mengurangi kriminal urusan perut maaf sebelumnya ini mah cuma saran saja nasip pedagang kecil daya jual beli lemah parah ampun gusti,0
suminosarimchannel201 yaudah jadi petani biar ngerasa jangan nyocot doang,2
rusia tidak ada duit sudah habis biaya perang banyak investasi rusia yang mangkrak di indonesia,0
ekonom kelas loakan kok ngajarin bebek berenang kan goblok ni lampir,2
keponakan presiden adalah problem utamanya pasar butuh kebijakan moneter yng independen,0
media berita mainstream influencer bayaran ekonom cap kaki 5 mulai bergerak dengan agendanya provokasi propaganda manipulasi sabotase infiltrasi spionase penyelundupan narasi palsu hoax lsm peliharaan asing oligarki mafia dalam negeri mulai bekerja sama dengan asing : hanya karena indonesia ingin berdikari dan membuat kebijakan sistem eksport 1 pintu dengan dsi,1
rupiah 18000 kami di tanah bumbu kalimantan selatan aman saja buktinya setiap hari disini ada hajatan kawinan meriah,1
ayuh dan kita tekan rupiah dengan beli dollar negara bowo omong omong,0
apa saja yang ada di indonesia pasti impor kalau tidak impor tar uang jalan tidak masuk kantong pak gaji buat isri uang luar buat istri sinpenan indonesia stop impo tuh bisa hidup cuma pintar y pemerintah saja mangakali tuk bisa dapat penghasilan luar cara y bagaimana menipu rakyat biar tidak tergantung gaji indonesia bnyak orang pinter yang sedikit orang yang amanah dan jujur tuh mkya susah tuk maju mantap,0
part of the game tidak bakal dihukum mati,2
orang banyak banget punglinya jangankan perusahaan besar yang umkm saja kena bilangnya uang keamanan lah uang koordinasi lahh pantas saja investor asing pada pilih di vietnam daripada di indonesia,0
sekolah gratis sampai sarjana lebih ber guna bagi masarakat makan bergizi gratis banyak penyimpangan tidak sesuai dengan orogam pak presiden kebih baik makan bergizi gratis dan bpjs di ganti sekolah gratis hingga sarjana bahkan hingga s ii rakyat milik negara dan negara adalah rakyat tidak ada negara jika tidak ada rakyat jadi rakyat wajib di pintarkan dibiayai negara bukan sebaliknya rakyat jenius negara kuat tidak di bodoh i bangsa asing jangan seperti roi suryo dan kelompoknya yang tidak ada kontribusi busnya pada negara orang tuanya salah mendidik fi srkolah biar pandai tetapi menjadi sntek asing tidak sejalan dengan pemerintahaan justru bikin gaduh memfitnah nah menjelek an pemimpin bangsa sendiri yang sese iman dan sebangsa ibarat makan bsngkai menjelek orang yang se akidah dan sebangsa,0
tahun 2025 indonesia pun impor 5 ribu ton beras di bulan mei n itu impor resmi bukan selundupan yang kayak yang sering disita itu ya biarin saja lah bro tidak perlu menyanggah komentar netizen iq 78 yang tukang nyinyir tidak bakalan bisa,0
kata kata hari ini lebih baik menjadi ultraman dari pada menghadapi cinta yang tidak permanen,2
dimana mana menteri keuangan selalu bekerja dalam senyap kalau ini tebar pesona yang hasilnya tidak mempesona mungkin balik ke sri mulyani bisa dipertimbangkan,0
kena cuci otak kita awalnya manis terselubung niat membunuh rakyat tak lama kedaulatan negara dikuasai hilirisasi batal bukan indonesia emas tapi derita kolektif,0
tetaplah bersikap positif karna negara kita yang paling stabil di asia,1
omongannya scam omong angin kosong tidak sesuai fakta tidak ada langkah langkah jelas tindaklanjut ya bagaimana tidak realistic harnya harapan kosong cepeta hancur lah negara ini muak liat orang orang palsu ini,0
konon di indonesia ada tukang ayam jadi pleciden tukang tempe jadi mentri,2
rakyat nya miskin banyak tidak mkn,0
alihkan saja ke setiap setiap sekolah pelaksanaan nya biar lebih efektif dan efisien serta lebih mudah pengawasannya,1
sutediheriyonobaladmaung inilah contoh manusia yang tidak percaya ada nya tuhan orang yang tidak bertuhan memang nyata seolah olah kamu hidup dari batu baru yang tidak bernyawa yaitu kamu orang bodoh sombong tidak mau kalah dengan takdir tuhan,2
bagus saatnya indonesia genjot ekspor besar2an dan saatnya kita harus hemat impor besar2an selama bensin beras dan lain lain murah serta tersedia banyak bagi masyarakat luas maka inshaallah indonesia akan baik baik saja bismillah indonesia kuat tangguh,1
makan bergizi gratis di pertahankan buat penopang 2 periode,1
jangan mengatasi dollar mengatasi ijasah palsu saja enga bisa kelar kelar bnyk interpensi,2
singapore jenius indonesia pajaknya kebangetan,0
non blok gimna bang kalau jelas join brics,2
sudah tandatangan atau baru janjian sama kayak kejadian tesla dan segala proyek yang belum realita tapi sudah koar koar make it happen first,0
di brogol masih juga senyum senyum tidak malu muka tembok gedek bukanya nunduk malu tidak ada rasa menyesal makanan anak sekolah di korupsi goblog,0
7bramm betul si kak q juga begitu,2
anak desa tidak mengerti dollar,2
salah kelola negara yang kaya raya tapi dijarah oleh oligarki,0
mana buktinya ngoceh 2025 dollar 17000 asbun cuk,0
bagaimana masyarakat punya daya beli tidak terjerat judol yah terjerat pinjol jogetin saja sip all in,2
kapan turun ayo turun cepat,2
rupiah melemah ke semua mata uang,0
nyesel banget dan merasa berdosa dulu pilih prabowo bener bener tidak becus urus negara,0
go go war usa israel iran everyday,2
13700 bro 1 dollar singapura hahahah,0
kalau dollar tembus 25000 1 dollar yang kelojotan orang orang yang banyak mengunakan dollar kalau perusahaan banyak import mengunakan dollar dan tidak banyak export maka perusahaan nya akan bangkrut bagi petani tidak perlu dollar karena punya beras punya lauk ikan ayam tidak beli yang sedang bingung itu pengusaha dan orang orang yang suka poya poya ke luar negri rakyat di kampung tidak perlu dollar ya,1
sehat sehat selalu pak prabowo dan pak purbaya pejuang kemerdekaan indonesia dari penjajahan mafia singapura dan malaysia,1
cari panggung n waktu berkuasa lebih parah semua partai sma semua sok2annbela rakyat taek,0
prabowo bilang negara kita kaya,1
kenapa tidak ada agen pengepul ke seluruh pelosok,2
katanya warga desa tidak pake dollar prabowo,2
rakyat kek gitu yang bisa nabung itu normal kita kan kaga normal becus memilih pemimpin kaga pola pikir jangka pendek apa itu persiapan 20 tahun kedepan ngapain mikir besok rejeki sudah ada yang ngatur kata bro yang rajin menggunakan otot tapi malas menggunakan otak,0
menurut saya pelemahan nilai tukar rupiah akan mendorong imported inflation yang lebih tinggi harga barang impor seperti pangan yaitu gula daging sapi gandum dan kedelai akan mengalami kenaikan harga yang lebih tinggi kondisi ini akan menciptakan tekanan inflasi yang lebih besar di dalam negeri,0
engak bapak bapak rupiah jatuh yang penting gaji hakim lagi gedek dari malaysia dan punyai jet rafalie,0
perlunya transparasi program makan bergizi gratis dan itu wajib hukumnya,0
narasumbernya sangat kompeten kalau saya jadi prabowo saya akan rekrut orang orang spt ini untuk ikut membenahi negara,1
program yang tidak realistis dan pengurus yang tidak amanah menyengsarakan rakyat saja,0
ya nih pasti naik tega banget dah,2
stimulus kompor listrik bro agar lpg tidak impor,0
lha memang iya bagus untuk export buruk untuk import pintar sekali,2
makan bergizi gratis nomor 1,0
sirr moneyy sirr jogetin saja,2
prabowo harus kenakan tarif pada produk china,1
makan bergizi gratis dan sbn syaitonirojim,2
tidak usah impor ngapain impor walaupun tidak impor masih bisa makan kalau di indonesia,1
yang membuat pebisnis malas dan ogah mencari ijin usahanya adalah berbelit dan banyaknya aturan perijinan yang biayanya bisa sama dengan usaha yang dibangun ijin inilah ijin itulah disamping itu uang pajak realitanya malah lebih banyak dikorup daripada yang disetorkan ke kas negara masyarakat bukannya dibantu dalam menciptakan peluang usaha ini justru seolah sengaja di persulit,0
saya mau ikut kelas bagaimana caranya,2
dedemouzez8501 dollar singapura dollar australia dan dollar uni eropa,2
ganti saja kl tidak sanggup,2
masalahnya banyak media besar indonesia yang jadi perpanjangan tangan amerika,0
ini nilai rupiah kok makin parah ya kok makin tidak ada nilai,0
budimangunawan3199 pilipina itu negara benua afrika ya monyet indognesial tidak tau mengeja mau ngomong tarif,0
penghambat kemajuan dan kemakmuran negeri ini adalah para koruptor dan lintah departemen kalau tidak ada keseriusan penegakkan hukum negeri ini hanya bisa melangkah dengan terseok seok,0
pemerintahnya local maupun pusat sama bejatnya too greedy and selfish the law of land building ownership by foreigners and building development law must be stricter dan orang orang yang mau minjemin namanya juga harus diselidiki dulu seblm approve beli rumah dari segi financial especially btw hey wayan murah banget nama kamu kamu jual cuman 3 jt semurah harga diri kamu dan kecintaan kamu sama bali,2
indonesia masih import ayam telor dari vietnam thailand china dan amerika masa mau import ke saudi otak mana otak,0
makan bergizi gratis proyek tahan malu terlanjur janji omong omong sambil ngibulin 58% yang malas berpikir cerdas,0
kamu kira 8% kaya nyeduh mi instan wkwkw tololnya kebangetan,0
yang penting masih bisa joget ok gas ok gas,2
tidak usah beli barang dri amerika boikot saja biar bangkrut,0
uang rupiah buat membazir prabowo jalan jalan pusing dunia pergi minum minum mabuk mabuk di luar negara,0
swasembada di rumah nya amran,2
saham sih yng paling baik sama properti yang harganya pasti naik kayak emas tanah dan lain lain,2
kita percaya pemerintah punya pertimbangan matang dalam setiap langkah yang diambil,1
wah gawat ini bukan lagi tentang 19 jt lapangan pekerjaan tapi 19rb dollar,0
uang negara bocor habis untuk makan bergizi gratis,0
otak kau sudah terlalu bersih di cuci walaupun kenyataan nyata di depan mata,2
untung sudah bl dollar banyak dari tahun lalu lumayan bisa dapat cuan banyak jualan dollar mudahan bisa di atas 1 dollar bisa 30 ribu,0
do coba main shelter of sursur,2
mentrinya keuangan lebih bagus di jaman srimolyani,0
selama purbaya tersenyum rupiah tidak apa apa sampai 25 ribu per dollar amerika lanjutkan,1
tapi kalau suku bunga ditahan atau malah diturunkan saat seperti ini ditengah gejolak geopolitik jangan jangan dollar malah lari k safehaven emas uang malah tidak ngalir,0
presiden dn menteri2nya kompak bilang dollar naik tidak masalah eh skrg kalang kabut ketahuan kan kalau kalian bego,0
semoga kebijkannya pro rakyat ya,1
2026 2028 tumbang rezim prabowo jika ekonomi tidak ada perbaikan prabowo tidak bisa di andalin dari pemilihan pejabat korupsi ugal2lan sok keren paham nasionalisme hajar kanan kiri semua punya timing dan action yang tepat tidak grusa grusu,0
jangan langsung percaya dengan potongan video atau kutipan yang menyudutkan,1
jaman skrg mana ada yang mau mundur,2
sudah ketar ketir malaydes sekarang jangan harap bahan mentah ada dari indonesia dengan harga murah,1
bukan cuman prabowo tapi purbaya juga ini menkeu aneh aneh mulu dulu katanya bisa selesai soal isu rupiah satu malam saja kemudian ngomong bisa selesai dalam 1 minggu nah sekarang bisa selesai dalam waktu 2 bulan omong omong,0
betul tuh min ngomu jika masa perang dunia 3 yang menolak food estate dan makan bergizi gratis akan diberlakukan seperti kampanye patriotic grow inggris masa perang dunia 2 nanti di lapangan sepakbola trotoar bahkan balkon untuk tanam sendiri,1
jayasakti6656 eww beropini saja dijawab gini lha wong nyatanya rupiah paling parah ya sekarang tahun 1997 dollar cuma tembus 16 ribuan dan jadi 6 ribuan dalam 18 bulan lha ini dari 15 ribu sekarang 18 ribu ma dibiarkan tembus 20 ribu gitu eh btw saya orang indonesia loh,0
kopdes makan bergizi gratis bikin ekonomi hancur apbn depisit berarti pengeluaran negara mines jelas ekonomi negara hancur,0
kamu saja yang mampus bareng keluarga kamu rakyat indonesia tidak mau,0
buat yang tidak kebayang rp 5397 triliun sebanyak apa nah kalau di tumpuk pake uang rp 100000 tuh bisa 6x lebih tinggi dari gunung everest kalau masih belum kebayang nih ye itu monas di tumpuk sampai 409x tuh dengan estimasi tebel uang rp 100000 itu 01 mm,2
pemerintah harus balas si arab saudi,2
apakah makan bergizi gratis itu berlaku untuk seluruh siswa siswi yang ada di indonesia kalau untuk seluruh anak siswa siswi kok sampai saat ini di sd saya yang ada di cianjur selatan belum pernah kebagian kemana tuh uang nya,0
ucapan yang tidak menenangkan per detik ini saham turun 2 persen jumat jam 10:03,0
katanya swasembada beras ternyata fakta di pasaran harga beras mahal,0
asik banyak uang wani piro masuk apalagi bagian perizinan suka banget lagi orang indonesia saja dipersulit perizinan sama oknum biar keluar duit untuk dimudahkan apalagi orang luar taik lah oknum perizinan,0
ini yang di lindungi dan diperjuang kan mentri keuangan dan mentri umkm memberi karpet merah tidak berani mereka melarang dan menutup exspor yang jelas merusak harga dan mematikan industri lokal,1
purbaya sakit ya kok makin tidak waras,2
ini seperti bom waktu yang bisa meledak kapan saja,2
serangan asing tidak suka indonesia mandiri hilirisasi mengatur export mafia sawit tidak bisa bermain,1
mereka makan uang riba dan juga membunuh rakyat indonesia secara berlahan lahan pakai uang riba,0
bangga anak anak bangsa edukasi bidang otomotif semoga lebih maju berkualitas,2
tetap bisa ini indonesia bro,1
itulah ndasnya peang matanya buremm,2
pejuwamg kok takut dollar naik saya rakyat kecil tidak takut,1
ngmong apa si kamu sekolah yang tinggi biar pintar,2
makan bergizi gratis itu hy memberi peluang bisnis bagi yang punya modal,0
apa benar koruptor di indonesia menolak uang digital,2
kelihatan kualitasnya andaikata terwujud kurs rupiah bisa ditekan sampai 15000 rupiah pasti langsung berkoar itu sesuai langkah yang saya rencanakan begitu rupiah tembus 18000 rupiah urusan itu saya serahkan ke bi,0
mantap pak ra koruptor pada bingong nyari celahnya,1
what are you talking about are you alright dude,2
desa 2 setiap tahun di berikan sama pemerintah uwang pada di kemanain,1
makin lama makin tidak jelas negeri ini mafia semakin kuat,0
selamat ulang tahun bank indonesia yang ke 68,1
sibuk ngurusin negara orang sih tidak mikirin negara sendiri,0
ini orang suruhan soros di bayar berapa dia,1
pake motor mobil listrik ah ribet amat gua bukan budak barat,0
tiriak sedikitvaja di teror kok mau jadi th 98 tidak mungkin,1
bodoh skrg masih era perang bbm dan beras tidak naik saja sudah alhamdulillah,1
wkwkk tetnyata oh ternyata tidak spt saat dulu sblm jadi pejabat,2
banyaknya penyelundupan terjadi karna bea cukai ikut bekerja sama dgb penyeludup dinaikn gajinya sebesar apapun tetap tidak pengaruh karna aman dn menyenangkn bagi keduanya siapa yang mengawasi barang itu ada dipasaran disitu mulai lagi jaringn yang lain mereka selalu mencari celah walaupun akibatnya merusak produk dalam negri masyrkt cape mikir lagi yang penting dapat barang murah,1
makan bergizi gratis setiap hari 1 t itu kan bikin lemah,0
angkat topi sama kinerja parabowo mantap 2029 pensiun saja tidak usah ikut nyapres lagi bisa bubar,0
fokus cari kerja fokus usaha lepas nganggur dulu jangan liat berita beginian paham tidak stress iya,2
komisaris hana dino pati bro tyo ini anggotanya,2
teori ngaco yang jadi acuan kebijakan moneter karena yang menciptakan bukan manusia berperikemanusiaan admin hny menyampaikan teori yang sudah dipelajari dengan susah payah terima kasih admin rakyat indonesia harus mampu menciptakan ribuan triliun unlimited tanpa inflasi harga boleh tinggi tapi pasti terbeli ciptakan daya beli tanpa tergantung kebijakan moneter,2
kalau lewat 18 hari dollar tidak turun rakyat mau apa ya,2
yuk bisa pas 17 agustus nilainya 19450,0
nah gitu investasi untuk indonesia jangan kpop sama kdara kamu mau investasiin minimal danantara harus punya otak memajukan indonesia bukan negara lain,1
perry marah besar setelah anggota dpr suruh dia resign saking marahnya dia langsung naikkan sbi,0
jangan ragu pasti kita dapat alasannya,2
1 united states dollar equals 18 02260 indonesian rupiah going for the 1 dollar 19000 rupiah indonesia rupiah will soon overtake india rupees amerika asia worst performing currency indonesia bisa,0
record muri all the time in indonesia goverment right now,1
jangan bilang terpaksa ente emng harus tegas bos,2
mata uang sudah dalam bahaya,0
ini presiden kalau mimpin negara kayak di amerika latin sih sudah pasti demo setiap hari jadi ruti nitas di sana soalnya ada orang aneh ego besar merasa benar,0
kalau mau sidak dtg lgsg naik ojek tanpa pengawalan tanpa pemberitahuan kelakuan kuno dari jaman aku sd kalau ada presiden datang ke daeraku lgsg bersih bersih kota tukang becak diliburkan dulu biar nampak rapi kotaku tipu tipu jaman kolonial,2
pak mohon alihkan saja makan bergizi gratis ke sekolah gratis kuliah gratis lebih bermanfaat,1
korupsi nya itu ada di jalur pembangunan dapur makan bergizi gratis,0
sekarang koruptor berpesta pora dikritik marah bbm naik uang kuliah selangit,0
warga indonesia selalu memberi alasan yang konon nya indonesia sukar untuk maju disebabkan penduduk yang ramai 282 juta dari data statistik 2024 serta keadaan geografi negaranya yang luas ini merupakan suatu alasan yang tidak masuk akal dari segi pendapatan melalui cukai sahaja indonesia mengalami kekurangan pendapatan bajet ketara dari pungutan cukai daripada individu hanya ada 27 juta pembayar cukai berdaftar di indonesia daripada 282 juta penduduk merangkumi 9 peratus dari jumlah penduduk yang mana menurut pejabat cukai jumlah pembayar cukai sepatutnya adalah 120 juta 424 peratus yang sepatutnya ini tidak termasuk pendapatan dari sumber alam serta hasil bumi yang cukup besar berbanding negara jiran banyak ketirisan yang berlaku laporan daripada indonesia juga mengatakan bahawa golongan menengah golongan pembayar cukai juga telah jatuh dengan drastik pada tahun 2024 dan diunjurkan akan terus jatuh pada tahun tahun berikutnya ini bermakna pendapatan kerajaan indonesia juga akan terus jatuh perbelanjaan serta kos operasi pemerintah juga naik disebabkan jumlah kabinet yang besar terlalu banyak jumlah ministers non ministers portfolio berbanding dengan negara malaysia sehingga 31 dis 2023 jumlah pembayar cukai individu adalah sebanyak 57 juta daripada 32 juta penduduk merangkumi 18 peratus dari jumlah penduduk dengan hasil kutipan rm4096 bilion setahun juga akan dipenjara atau didenda penalti jika tidak membayar cukai seharusnya negara indonesia memiliki bajet pendapatan dari cukai yang lebih besar berbanding negara malaysia disebabkan jumlah penduduk nya yang ramai pertumbuhan ekonomi sesebuah negara yang pesat dari tahun ke tahun seharusnya memberi kesan positif kepada kutipan cukai ini bermakna semakin berkembangnya ekonomi semakin tinggi jumlah kutipan cukai yang dapat dikutip kutipan daripada cukai perlu mendapat sokongan daripada rakyat jika kita sebagai individu gagal dan mengelak membayar cukai adalah sukar bagi kerajaan menyediakan kemudahan dan pembangunan infrastuktur seperti jalan hospital sekolah sekolah dan juga kemudahan asas yang lain nya serta bantuan subsidi minyak bbm beras gula barang keperluan asas yang lain yang diperlukan oleh rakyat itu sendiri banyak video video reaction reaction postingan postingan somed daripada warga indonesia yang selalu menghujat pemerintah mereka sendiri kerana tidak memberikan menyediakan kemudahan kemudahan asas yang berkualiti serta bantuan yang sepatut nya kepada warga negara indonesia gaji infrastuktur asas bahan bahan keperluan bersubsidi etc etc pembayar cukai kamu hanya 9% daripada 282 juta penduduk jiwa berbanding malaysia iaitu 18% daripada 32 juta penduduk so kepada warga indonesia jangan nak atau hanya pandai komplen sana sini you guys are not doing your part for your own country kamu lebih suka bikin konten video video porno sama guru atau sama pacar dalam mobil honda atau mememek serta joget jogetan separuh bugil dengan pendapatan lebih besar daripada pungutan cukai rakyat indonesia segala kemudahan asas berkualiti serta subsidi boleh diperuntuk kan dan dipulangkan kepada rakyat pendapatan melalui gaji juga akan lebih besar purchasing power rakyat juga akan naik dan penghijrahan warganegara ke negara negara lain untuk mencari rezeki boleh diminimal kan presiden baru bapak prabowo harus menerapkan disiplin ala tentera kepada rakyat indonesia sebagai satu langkah permulaan my 2 cents,2
program sangat membantu gizi anak dan dapat menyerap 1000 tenaga kerja lokal,1
ayo lempar tanggung jawab pas berhasil ayo cari muka,0
kok tidak pakai alat y masih manual tidak canggih tidak ada yang hebat ternyata di indonesia ini,0
bubarin saja dripd jadi prdbtn terus,2
umkm sulit dan turun deratis tetapi koropsi naik meroket kita nya menuju ekonomi emass,0
bubarkan makan bergizi gratis dan kopdes itu pemborosan apbn,0
banyak duitnya orang orang itu,2
lebih baik di hentikan dulu sementara bangun dulu sistem nya dengan baik saran saja setiap daerah ada team audit pengawas lapangan dan itu harus indepedent dan setiap kepala daerah punya wewenang croscek sppg kenapa setiap kepala daerah harus punya wewenang karena mereka harus punya data pertumbunan anak anak efek dampak program makan bergizi gratis kualitas guru pengajar pun harus upgrade berkala sesuai dengan kurikulum kemendikbud dari kurikulum yang bagus setiap daerah kota bisa mengirim anak anak berprestasi untuk olimpiade tingkat provinsi nasional insya allah mungkin target indonesia emas 2045 bisa tercapai,0
tahun 2026 bisa ketemu buat makan sama bayar kontrakan saja sudah bersyukur,1
buat la kerja sendiri tanpa banding dengan negara lain,2
pake yuan pake rubel ato pake dollar singapore saja pak kalau mau belanja minyak permainan barat bpk lebih pinter lah,0
otak kau memang sakit sama seperti pemerintah,2
sholat di mosola saja ada yang kurang dari 26 orang ini korupsi 26 orang berjamaah korupsi,2
semoga pak purbaya diberi kesehatan ridho allah swt rakyat indonesia makmur aamiin,1
indungunesia injak balik salam 18000,2
suku bunga bi naik akan tetapi bunga tabungan dan lain lain turun,2
buru buru dah tinggalkan rupiah kalian mending punya aset tanah jaga jaga kalau mata uang sudah tidak ada harganya minimal masih bisa hidup dari hsil kebun di tanah kalian,0
saat negara negara eropa tengah dilanda krisis ekonomi karena perang inilah saatnya indonesia menjadi pusat perekonomian dunia,1
sudah msk jurang aza semua rezim termul sudah tidak dipercaya market kamu prabowo prabowo termul bukan rumor bego tapi fakta,0
masalahnya makan bergizi gratis kalau masak pake gas melon belanjanya di pasar bukan di petani jadi harganya naik yang tidak kebagian sppg rakyat kecil kena imbas harga naik,0
